Keyword,type
Abasgi,Ethonym
Abodriti,Ethonym
Aegyptii,Ethonym
Aethiopes,Ethonym
Afri,Ethonym
Africani,Ethonym
Agareni,Ethonym
Aisti,Ethonym
Alamanni,Ethonym
Alani,Ethonym
Almorabites,Ethonym
Amazones,Ethonym
Ambrones,Ethonym
Amorrei,Ethonym
Angli,Ethonym
Anti,Ethonym
Apuli,Ethonym
Aquilonales,Ethonym
Aquitani,Ethonym
Arabes,Ethonym
Arabici,Ethonym
Armoricani,Ethonym
Austrasii,Ethonym
Austrogothi,Ethonym
Avari,Ethonym
Bactriani,Ethonym
Baiuvarii,Ethonym
Bastarnae,Ethonym
Batavi,Ethonym
Beneventani,Ethonym
Boemi,Ethonym
Breoni,Ethonym
Britannici,Ethonym
Brittani,Ethonym
Brittones,Ethonym
Bulgari,Ethonym
bulgarici,Ethonym
Bulgarici,Ethonym
Burgundii,Ethonym
Calabri,Ethonym
Caldei,Ethonym
Camarini,Ethonym
Capuani,Ethonym
Celtae,Ethonym
Chaibones,Ethonym
Chizzini,Ethonym
Cimmeri,Ethonym
Cinomanni,Ethonym
Circipani,Ethonym
Cori,Ethonym
Daci,Ethonym
Danai,Ethonym
Dani,Ethonym
Dania,Ethonym
Dani (Daci),Ethonym
Diva,Ethonym
Doxani,Ethonym
Finni,Ethonym
Flandrenses,Ethonym
Franci,Ethonym
francici,Ethonym
Francigenae,Ethonym
Fresii,Ethonym
Gabali,Ethonym
Gaetuli,Ethonym
Galli,Ethonym
Gallicani,Ethonym
Gallici,Ethonym
gens Romana,Ethonym
gens Romanorum,Ethonym
Gepides,Ethonym
Germani,Ethonym
germanici,Ethonym
Getae,Ethonym
Gothi,Ethonym
Gothici,Ethonym
Graeci,Ethonym
Gronlandi,Ethonym
Hattuarii,Ethonym
Hebraei,Ethonym
Hephthalites,Ethonym
Heruli,Ethonym
Heveldi,Ethonym
Hiberi,Ethonym
Hibernici,Ethonym
Hispani,Ethonym
Hispanienses,Ethonym
Hungri,Ethonym
Huni,Ethonym
Hunuguri,Ethonym
Hyperborei,Ethonym
Indi,Ethonym
Ioneum,Ethonym
Islani,Ethonym
Ismahelitae,Ethonym
Israhelitae,Ethonym
Israhelitici,Ethonym
Itali,Ethonym
Iudaei,Ethonym
Iudaici,Ethonym
Iuti,Ethonym
Juti,Ethonym
Karinthi,Ethonym
Kutriguri,Ethonym
Kweni,Ethonym
Kyriali,Ethonym
Langobardi,Ethonym
Latini,Ethonym
Lazi,Ethonym
Leubuzzi,Ethonym
Lingones,Ethonym
Liutizi,Ethonym
Lotharii,Ethonym
Macedonici,Ethonym
Malfitani,Ethonym
Marahi,Ethonym
Marcomanni,Ethonym
Mauri,Ethonym
Mazices,Ethonym
Mercii,Ethonym
Neustrici,Ethonym
Nordalbingi,Ethonym
Nordanhumbri,Ethonym
Norici,Ethonym
Normanni,Ethonym
Norvei,Ethonym
Norvei (Norici),Ethonym
Norwagenses,Ethonym
Orientales,Ethonym
Palatini,Ethonym
Pannonienses,Ethonym
Parthi,Ethonym
Persae,Ethonym
Peucini,Ethonym
Picti,Ethonym
Polabingi,Ethonym
Polani,Ethonym
Pomerani,Ethonym
Pruzi,Ethonym
Quadi,Ethonym
Rani,Ethonym
Redarii,Ethonym
Reregi,Ethonym
Rhos,Ethonym
Romani,Ethonym
Roxolani,Ethonym
Ruci,Ethonym
Rugi,Ethonym
Sabiri,Ethonym
Sarmatae,Ethonym
Sarraceni,Ethonym
Saxones,Ethonym
Saxonici,Ethonym
Sclavi,Ethonym
Scotti,Ethonym
Scottici,Ethonym
Screlinga,Ethonym
Scythae,Ethonym
Sembi,Ethonym
Sicambri,Ethonym
Siculi,Ethonym
Sogdians,Ethonym
Sorabi,Ethonym
Stoderani,Ethonym
Suebi,Ethonym
Sueci,Ethonym
Sueones,Ethonym
Sygambri,Ethonym
Tervingi,Ethonym
Teutones,Ethonym
Teutonici,Ethonym
Tholosantes,Ethonym
Thuringi,Ethonym
Thylenses,Ethonym
Troiani,Ethonym
Turci,Ethonym
Turcilingi,Ethonym
Ultrahumbrenses,Ethonym
Utiguri,Ethonym
Vacceii,Ethonym
Vandali,Ethonym
Vangiones,Ethonym
Veneti,Ethonym
Venetiani,Ethonym
Venetici,Ethonym
Vinedi,Ethonym
Wagri,Ethonym
Wandali,Ethonym
Waringi,Ethonym
Warnabi,Ethonym
Wascones,Ethonym
Welatabi,Ethonym
Wesfaldingi,Ethonym
Wilini,Ethonym
Wilzi,Ethonym
Winuli,Ethonym
Wisigothi,Ethonym
Aethiopia,Region
Africa,Region
Alamannia,Region
Alania,Region
Albion,Region
Altemania,Region
Angaria,Region
Anglia,Region
Aquitania,Region
Asia,Region
Ausonia,Region
Austrasia,Region
Avaria,Region
Baioaria,Region
Biarmonia,Region
Boemia,Region
Britannia,Region
Burgundia,Region
Carantanum,Region
Caucasus,Region
Chersonesus,Region
Dacia,Region
Dania (Dacia),Region
Danomarchia,Region
Europa,Region
Flandria,Region
Forumiuli,Region
Francia,Region
Fresia,Region
Gallia,Region
Germania,Region
Gothia,Region
Graecia,Region
Gronland,Region
Hibernia,Region
Hispania,Region
Histria,Region
Iamtonia,Region
Illyricum,Region
Island,Region
Israhel,Region
Italia,Region
Iudaea,Region
Iutia,Region
Libya,Region
Longobardia,Region
Macedonia,Region
Moesia,Region
Neustria,Region
Noricum,Region
Normannia,Region
Norwegia,Region
Palus Maeotis,Region
Pannonia,Region
Pontus,Region
Romania,Region
Ruzzia,Region
Saxonia,Region
Scandinavia,Region
Scandza,Region
Sclavania,Region
Sconia,Region
Scottia,Region
Scythia,Region
Seland,Region
Semland,Region
Suecia,Region
Sueonia,Region
Teotonica,Region
Thracia,Region
Thuringia,Region
Thyle,Region
Ungaria,Region
Vacceia,Region
Valeria,Region
Wasconia,Region
Westarfolda,Region
Disaph,Unsicher
Emer,Unsicher
Eviltae,Unsicher
Nebusa,Unsicher
